"[847.1983094151419, 848.6160212227169, 848.4423377672019]","[11.451809396641265, 0.9413550700579187]","[859.4014506587284, 865.1667408045266, 832.0248490245509]"
"[859.4014506587284, 865.1667408045266, 832.0248490245509]","[18.195612691282513, 19.673097600286194]","[891.4237032321568, 917.8594852612965, 781.1187583742515]"
"[891.4237032321568, 917.8594852612965, 781.1187583742515]","[23.30933412495656, 9.471471962732455]","[923.128839539139, 982.779465795291, 719.387110246547]"
"[923.128839539139, 982.779465795291, 719.387110246547]","[26.347560573217827, 11.886944428260833]","[934.0376667954936, 1048.8011722880412, 653.3861056012513]"
"[934.0376667954936, 1048.8011722880412, 653.3861056012513]","[24.965783128682908, 11.453906304984715]","[928.1139711096047, 1102.8010987339649, 596.7950597724816]"
"[928.1139711096047, 1102.8010987339649, 596.7950597724816]","[16.68267456891553, 12.133361308378912]","[911.9977941263893, 1152.9168471712953, 544.3088613015592]"
"[911.9977941263893, 1152.9168471712953, 544.3088613015592]","[28.49308312609701, 2.5629440392986647]","[880.4491315767256, 1184.012615344199, 514.6844016426086]"
"[880.4491315767256, 1184.012615344199, 514.6844016426086]","[20.89850798904113, 25.440937159212737]","[821.8795585902352, 1215.4897320950433, 499.02714237652447]"
"[821.8795585902352, 1215.4897320950433, 499.02714237652447]","[14.731325537986004, 25.668232546514794]","[788.133122484476, 1252.700179115949, 484.4723921516375]"
"[788.133122484476, 1252.700179115949, 484.4723921516375]","[4.01171804757937, 11.286179018718098]","[777.0605014864286, 1283.6238946709975, 470.5684041351906]"
"[777.0605014864286, 1283.6238946709975, 470.5684041351906]","[0.6767400930132261, 17.562899519292976]","[780.1843117912908, 1312.3483837629587, 452.6792687601786]"
"[780.1843117912908, 1312.3483837629587, 452.6792687601786]","[15.245935181896904, 15.8426871869423]","[796.4073589868505, 1358.3223923091343, 420.3354392011338]"
"[796.4073589868505, 1358.3223923091343, 420.3354392011338]","[27.54190863215505, 28.954022514104125]","[846.8804469352272, 1471.4613455341632, 353.1418006993933]"
"[846.8804469352272, 1471.4613455341632, 353.1418006993933]","[19.40986703051387, 16.19084802508377]","[876.4662492094147, 1529.7061306026133, 329.86016128538466]"
"[876.4662492094147, 1529.7061306026133, 329.86016128538466]","[4.213280993470417, 17.53904807179099]","[899.3041517756826, 1567.335534402567, 316.92882071686057]"
"[899.3041517756826, 1567.335534402567, 316.92882071686057]","[3.3725273105190046, 24.160195489699614]","[951.0707683005982, 1619.8598724321466, 281.30354835282475]"
"[951.0707683005982, 1619.8598724321466, 281.30354835282475]","[23.33834015612807, 21.879791929918063]","[1026.6723751052084, 1680.4202824901186, 228.48983741989494]"
"[1028.8936941389427, 1682.8289021284606, 227.75669877937733]","[11.801666128636331, 8.543375019425499]","[1040.91170901967, 1713.8108839583936, 244.52661608555013]"
"[1040.91170901967, 1713.8108839583936, 244.52661608555013]","[28.843576801757983, 12.34940178269979]","[1053.5176448823722, 1768.9995783149582, 297.9127188934705]"
"[863.6501720943382, 1576.4109679136911, 367.2008983629806]","[29.71443707279934, 8.544166675424297]","[798.779745831077, 1491.2857145262137, 408.0887677331489]"
"[798.779745831077, 1491.2857145262137, 408.0887677331489]","[25.268931123926237, 8.279081604407192]","[784.4525561747951, 1436.211117102625, 415.5646434541442]"
"[784.4525561747951, 1436.211117102625, 415.5646434541442]","[8.70230433115588, 4.069216641900857]","[785.6380431929515, 1420.1510113055056, 414.8839053422656]"
"[785.6380431929515, 1420.1510113055056, 414.8839053422656]","[10.093701751501692, 28.243418274995708]","[781.979401457257, 1352.0700071754607, 433.68738084413985]"
"[781.979401457257, 1352.0700071754607, 433.68738084413985]","[23.088924255142913, 16.043748519238104]","[774.4898173890281, 1283.999562787811, 471.89718926826635]"
"[774.4898173890281, 1283.999562787811, 471.89718926826635]","[15.959667483527344, 16.81948707082017]","[776.8480686143075, 1240.582460665062, 498.5950277627927]"
"[776.8480686143075, 1240.582460665062, 498.5950277627927]","[27.985702528847973, 0.9461777219376355]","[799.599567783181, 1198.0453867859305, 521.1737798460798]"
"[799.599567783181, 1198.0453867859305, 521.1737798460798]","[20.304686675360667, 25.459347455102115]","[859.0720207001331, 1161.8046035155007, 538.4167314913328]"
"[859.0720207001331, 1161.8046035155007, 538.4167314913328]","[9.356470702823325, 3.14193805166311]","[874.1245523345628, 1154.106915755252, 544.1200354646941]"
"[874.1245523345628, 1154.106915755252, 544.1200354646941]","[10.490974079687897, 11.238525687844312]","[899.9798287657007, 1144.425485641219, 552.6334881140846]"
"[899.9798287657007, 1144.425485641219, 552.6334881140846]","[19.894444542343976, 17.294862355178097]","[961.8983372337692, 1125.8195642167043, 578.2802185559265]"
"[961.8983372337692, 1125.8195642167043, 578.2802185559265]","[3.187987499520617, 11.258059323722863]","[981.9883187483291, 1118.6739016166284, 590.5556859079167]"
"[981.9883187483291, 1118.6739016166284, 590.5556859079167]","[22.987846399235096, 1.7918216629082018]","[1016.0999164976345, 1114.999989375112, 605.2190349836161]"
"[1016.0999164976345, 1114.999989375112, 605.2190349836161]","[22.914932435364623, 6.4590497878162845]","[1060.41128550869, 1130.6350704069782, 606.9446881176178]"
"[1060.41128550869, 1130.6350704069782, 606.9446881176178]","[24.025542988193788, 23.170124136850145]","[1154.6979531044092, 1189.1781207638796, 598.5417637086927]"
"[1154.6979531044092, 1189.1781207638796, 598.5417637086927]","[2.475214866731151, 28.314812069471127]","[1205.6953284428214, 1209.241291814352, 615.5351696116502]"
"[1205.6953284428214, 1209.241291814352, 615.5351696116502]","[11.887735339020507, 13.155758411324395]","[1241.0646769346022, 1212.4001469542916, 642.6548158496815]"
"[1241.0646769346022, 1212.4001469542916, 642.6548158496815]","[3.0991948415851542, 27.904233668394237]","[1289.2811565199966, 1200.9793589223505, 700.6207965494174]"
"[1289.2811565199966, 1200.9793589223505, 700.6207965494174]","[19.408131223112445, 18.7662110335278]","[1323.7871903731354, 1171.6883055642402, 766.7945001080798]"
"[1323.7871903731354, 1171.6883055642402, 766.7945001080798]","[6.686401360990489, 18.15171315588895]","[1340.6506107178857, 1151.7201309425134, 805.4019990155475]"
"[1340.6506107178857, 1151.7201309425134, 805.4019990155475]","[5.494892711239519, 16.777363804212865]","[1348.9605375164685, 1121.5738815507073, 845.7044234108746]"
"[1348.9605375164685, 1121.5738815507073, 845.7044234108746]","[13.172384544630457, 6.529805742319699]","[1355.224182390445, 1095.6751090245, 879.1454171727507]"
"[1355.224182390445, 1095.6751090245, 879.1454171727507]","[9.193035044609521, 10.769728757315546]","[1363.8210764661544, 1074.4441579781148, 910.0207517487171]"
"[1363.8210764661544, 1074.4441579781148, 910.0207517487171]","[18.7570400654295, 25.348763215989045]","[1381.8651214902452, 1014.252086017697, 990.1705782294533]"
"[1381.8651214902452, 1014.252086017697, 990.1705782294533]","[19.35707546697128, 23.146905171311175]","[1391.935218735387, 953.9681195700042, 1060.8673683151585]"
"[1391.935218735387, 953.9681195700042, 1060.8673683151585]","[20.811084694615218, 28.79528447200002]","[1395.301906332952, 884.9506482377252, 1131.8263337704996]"
"[1395.301906332952, 884.9506482377252, 1131.8263337704996]","[16.719801977972573, 22.175069332303647]","[1391.0275131921906, 829.9000075055127, 1180.1042760949772]"
"[1391.0275131921906, 829.9000075055127, 1180.1042760949772]","[5.346130511548982, 28.487849339898858]","[1365.926096886724, 761.0888135797294, 1218.8528468015325]"
"[1365.926096886724, 761.0888135797294, 1218.8528468015325]","[14.575275361900868, 12.148559013292607]","[1337.534782730322, 713.1683777436083, 1234.8495353740268]"
"[1337.534782730322, 713.1683777436083, 1234.8495353740268]","[7.240803833148865, 4.220642788549412]","[1328.000278845963, 694.8053113030697, 1242.4435297489201]"
"[1328.000278845963, 694.8053113030697, 1242.4435297489201]","[27.88675502788949, 22.10644475348616]","[1297.1936256529139, 619.8076656790815, 1281.3717019017363]"
"[1297.1936256529139, 619.8076656790815, 1281.3717019017363]","[16.347401685914292, 19.810006723087245]","[1270.6744177770174, 536.5219436266909, 1331.1461272125468]"
"[1270.6744177770174, 536.5219436266909, 1331.1461272125468]","[18.830047321861798, 5.383083606699627]","[1264.4458493451507, 496.0082518730712, 1360.7356928978456]"
